tStart,tR,xR,yR,theta,xR_fine,yR_fine,tV,xV,yV,zRotV,tP,gxP,gyP,gzP,axP,ayP,azP
1706193875.936887,1706193875.9412212,26.247677479097575,24.14992570886044,0.012253492861272197,NaN,NaN,1706193875.9688923,-5.653748165554208,-742.7129319848927,0.9981320073730348,1706193875.9678948,nan,nan,nan,0.026911497116088867,0.033748168498277664,1.0330308675765991
1706193876.03084,1706193876.035983,26.247677479097575,24.14992570886044,0.012253492861272197,NaN,NaN,1706193876.0595455,-5.652717784301745,-742.7121237792506,0.9981321904176471,1706193876.0595455,nan,nan,nan,0.028608618304133415,0.03399096056818962,1.0330308675765991
1706193876.1242962,1706193876.133216,26.247677479097575,24.14992570886044,0.012253492861272197,NaN,NaN,1706193876.1551476,-5.653803186563715,-742.712900523093,0.9981314543187518,1706193876.1551476,nan,nan,nan,0.027881281450390816,0.03350537270307541,1.0296192169189453
1706193876.21598,1706193876.220888,26.247677479097575,24.14992570886044,0.012253492861272197,NaN,NaN,1706193876.2474468,-5.651295304432461,-742.710089777397,0.9981324881813407,1706193876.24645,nan,nan,nan,0.027881281450390816,0.033748168498277664,1.0308376550674438
1706193876.3076189,1706193876.312235,26.247677479097575,24.14992570886044,0.012253492861272197,NaN,NaN,1706193876.3379211,-5.655052225499018,-742.7163799270708,0.9981315059963878,1706193876.3379211,nan,nan,nan,0.027881281450390816,0.03399096056818962,1.0281569957733154
1706193876.4010696,1706193876.4079564,26.247677479097575,24.14992570886044,0.012253492861272197,NaN,NaN,1706193876.4313502,-5.650535505367058,-742.7148984817785,0.9981356549286629,1706193876.4313502,nan,nan,nan,0.026911497116088867,0.03471934050321579,1.030106544494629
1706193876.493377,1706193876.4983327,26.247677479097575,24.14992570886044,0.012253492861272197,NaN,NaN,1706193876.523297,-5.656836537314453,-742.7168774306763,0.9981325810980874,1706193876.523297,nan,nan,nan,0.025941714644432068,0.035204920917749405,1.0284007787704468
1706193876.5845888,1706193876.5925684,26.247677479097575,24.14992570886044,0.012253492861272197,NaN,NaN,1706193876.6151986,-5.653421737088497,-742.7169255929172,0.9981331389914998,1706193876.614199,nan,nan,nan,0.02569926716387272,0.03471934050321579,1.029375433921814
1706193876.6762369,1706193876.6810074,26.247677479097575,24.14992570886044,0.012253492861272197,NaN,NaN,1706193876.7066474,-5.653375723470122,-742.7134682517307,0.9981347421850814,1706193876.7056546,nan,nan,nan,0.02497193031013012,0.03423375263810158,1.030593991279602
1706193876.7692199,1706193876.7750118,26.247677479097575,24.14992570886044,0.012253492861272197,NaN,NaN,1706193876.7993937,-5.685955316408185,-742.7339493342756,0.9981678534579578,1706193876.7993937,nan,nan,nan,0.025941714644432068,0.03399096056818962,1.0320560932159424
