tStart,tR,xR,yR,theta,xR_fine,yR_fine,tV,xV,yV,zRotV,tP,gxP,gyP,gzP,axP,ayP,azP
1706194249.7945156,1706194249.8025126,26.23391414257187,24.137632109374415,0.03721646210363952,NaN,NaN,1706194249.8257837,-23.938943135933926,-714.0758136123012,1.0208859654390474,1706194249.8257837,nan,nan,nan,0.02618415839970112,0.03544771298766136,1.0286444425582886
1706194249.8882377,1706194249.8958435,26.23391414257187,24.137632109374415,0.03721646210363952,NaN,NaN,1706194249.9155302,-23.949436360886395,-714.07192401042,1.0209038323272375,1706194249.9155302,nan,nan,nan,0.02642660401761532,0.03569050878286362,1.0296192169189453
1706194249.980144,1706194249.9851718,26.23391414257187,24.137632109374415,0.03721646210363952,NaN,NaN,1706194250.009222,-23.948706370944084,-714.0691980417442,1.020896149559556,1706194250.009222,nan,nan,nan,0.027153942734003067,0.03423375263810158,1.0296192169189453
1706194250.0717266,1706194250.076885,26.23391414257187,24.137632109374415,0.03721646210363952,NaN,NaN,1706194250.1016276,-23.95213689964231,-714.0697359515219,1.0209006564340841,1706194250.1016276,nan,nan,nan,0.02618415839970112,0.035204920917749405,1.0308376550674438
1706194250.1644504,1706194250.169846,26.23391414257187,24.137632109374415,0.03721646210363952,NaN,NaN,1706194250.1967232,-23.952933870504136,-714.0740219269571,1.0208975503041167,1706194250.1967232,nan,nan,nan,0.027396388351917267,0.03471934050321579,1.029375433921814
1706194250.2577724,1706194250.2644057,26.23391414257187,24.137632109374415,0.03721646210363952,NaN,NaN,1706194250.290193,-23.953832036748857,-714.0710920790757,1.0209014347756926,1706194250.290193,nan,nan,nan,0.027153942734003067,0.033748168498277664,1.0281569957733154
1706194250.34881,1706194250.3538017,26.23391414257187,24.137632109374415,0.03721646210363952,NaN,NaN,1706194250.3795214,-23.94980327546455,-714.0650015350068,1.020906082038261,1706194250.378127,nan,nan,nan,0.027153942734003067,0.035204920917749405,1.0296192169189453
1706194250.4403205,1706194250.445391,26.23391414257187,24.137632109374415,0.03721646210363952,NaN,NaN,1706194250.4707353,-23.951310710717756,-714.0639071384616,1.0209042311808652,1706194250.4697347,nan,nan,nan,0.027153942734003067,0.03399096056818962,1.0279133319854736
1706194250.5335417,1706194250.5394917,26.23391414257187,24.137632109374415,0.03721646210363952,NaN,NaN,1706194250.564592,-23.948763273969604,-714.064916564592,1.0209033056237697,1706194250.56417,nan,nan,nan,0.027638833969831467,0.03569050878286362,1.0276695489883423
1706194250.6268146,1706194250.6330967,26.23391414257187,24.137632109374415,0.03721646210363952,NaN,NaN,1706194250.6569426,-23.949635782629663,-714.0638824630121,1.0209024350286946,1706194250.6569426,nan,nan,nan,0.026911497116088867,0.03471934050321579,1.026938557624817
1706194250.7190852,1706194250.7241569,26.23391414257187,24.137632109374415,0.03721646210363952,NaN,NaN,1706194250.749294,-23.951986775500675,-714.0678266371218,1.0208987704134698,1706194250.749294,nan,nan,nan,0.027638833969831467,0.03399096056818962,1.0286444425582886
1706194250.8123612,1706194250.817633,26.23391414257187,24.137632109374415,0.03721646210363952,NaN,NaN,1706194250.839633,-23.947989833760015,-714.0658920005773,1.020900595150569,1706194250.839633,nan,nan,nan,0.027153942734003067,0.035933300852775574,1.0281569957733154
1706194250.9038162,1706194250.9089367,26.23391414257187,24.137632109374415,0.03721646210363952,NaN,NaN,1706194250.9283667,-23.95323064889336,-714.0641960878731,1.020903993931892,1706194250.9283667,nan,nan,nan,0.02642660401761532,0.035204920917749405,1.030106544494629
1706194250.9805462,1706194250.9845347,26.23391414257187,24.137632109374415,0.03721646210363952,NaN,NaN,1706194250.9974792,-23.949357916882573,-714.0625834060525,1.0209033669362435,1706194250.9974792,nan,nan,nan,0.02642660401761532,0.03617609292268753,1.0279133319854736
1706194251.0588303,1706194251.0638177,26.23391414257187,24.137632109374415,0.03721646210363952,NaN,NaN,1706194251.0754232,-23.95009158943753,-714.0620350606141,1.0208942890075232,1706194251.0754232,nan,nan,nan,0.027153942734003067,0.035933300852775574,1.029862880706787
1706194251.133865,1706194251.1391456,26.23391414257187,24.137632109374415,0.03721646210363952,NaN,NaN,1706194251.1511695,-23.954333850596672,-714.0649399285719,1.0208992863079072,1706194251.1511695,nan,nan,nan,0.026911497116088867,0.035933300852775574,1.0279133319854736
1706194251.2101662,1706194251.214769,26.23391414257187,24.137632109374415,0.03721646210363952,NaN,NaN,1706194251.2267082,-23.95216641851032,-714.0637922915116,1.0209045815868398,1706194251.2267082,nan,nan,nan,0.026669051498174667,0.03423375263810158,1.026938557624817
1706194251.2865198,1706194251.291466,26.23391414257187,24.137632109374415,0.03721646210363952,NaN,NaN,1706194251.3047748,-23.954130332029475,-714.0641999779303,1.0208998857676226,1706194251.3047748,nan,nan,nan,0.027881281450390816,0.035204920917749405,1.0271822214126587
1706194251.3644247,1706194251.3693886,26.23391414257187,24.137632109374415,0.03721646210363952,NaN,NaN,1706194251.3810112,-23.950373683338487,-714.0670199979891,1.020901306997396,1706194251.3810112,nan,nan,nan,0.027638833969831467,0.03447654843330383,1.0291317701339722
1706194251.4428825,1706194251.4491236,26.23391414257187,24.137632109374415,0.03721646210363952,NaN,NaN,1706194251.4594817,-23.947788186463537,-714.0668769215764,1.0208964080152476,1706194251.4594817,nan,nan,nan,0.027396388351917267,0.03423375263810158,1.0291317701339722
1706194251.519695,1706194251.5246854,26.23391414257187,24.137632109374415,0.03721646210363952,NaN,NaN,1706194251.5356555,-23.944006876040646,-714.0678395665075,1.020916340111025,1706194251.5356555,nan,nan,nan,0.029820848256349564,0.03496213257312775,1.0284007787704468
