tStart,tR,xR,yR,theta,xR_fine,yR_fine,tV,xV,yV,zRotV,tP,gxP,gyP,gzP,axP,ayP,azP
1706194594.234657,1706194594.241054,29.0189289490909,23.753567669519857,-0.00016279226291854298,NaN,NaN,1706194594.2661877,-406.58637728015907,-3505.1955393349167,0.9857293714926751,1706194594.2661877,nan,nan,nan,0.022547468543052673,0.033019788563251495,1.0308376550674438
1706194594.3234441,1706194594.3286245,29.0189289490909,23.753567669519857,-0.00016279226291854298,NaN,NaN,1706194594.3555286,-406.5864081819292,-3505.183106974592,0.9857100394613042,1706194594.3545303,nan,nan,nan,0.023517252877354622,0.03423375263810158,1.029375433921814
1706194594.417985,1706194594.4232886,29.0189289490909,23.753567669519857,-0.00016279226291854298,NaN,NaN,1706194594.4476206,-406.5857349068274,-3505.1872221785225,0.9857028145028464,1706194594.4476206,nan,nan,nan,0.02303236350417137,0.03471934050321579,1.029375433921814
1706194594.5095599,1706194594.5175073,29.0189289490909,23.753567669519857,-0.00016279226291854298,NaN,NaN,1706194594.544538,-406.5940159563661,-3505.1934477571854,0.9857017391647298,1706194594.544538,nan,nan,nan,0.023274807259440422,0.033748168498277664,1.0303502082824707
1706194594.6018214,1706194594.6083117,29.0189289490909,23.753567669519857,-0.00016279226291854298,NaN,NaN,1706194594.6298814,-406.5062779545995,-3505.209987093348,0.9858426977006172,1706194594.6288776,nan,nan,nan,0.021092794835567474,0.03447654843330383,1.0318124294281006
1706194594.6928842,1706194594.698027,29.0189289490909,23.753567669519857,-0.00016279226291854298,NaN,NaN,1706194594.7236104,-406.6722942510173,-3505.1699904075226,0.9857057365167592,1706194594.7236104,nan,nan,nan,0.023517252877354622,0.03399096056818962,1.0320560932159424
1706194594.7856402,1706194594.7907484,29.0189289490909,23.753567669519857,-0.00016279226291854298,NaN,NaN,1706194594.815678,-406.63051360605266,-3505.1760782202114,0.9857943511211337,1706194594.815678,nan,nan,nan,0.02375970035791397,0.033748168498277664,1.0322998762130737
1706194594.8787525,1706194594.8839185,29.0189289490909,23.753567669519857,-0.00016279226291854298,NaN,NaN,1706194594.9099863,-406.5831877787141,-3505.2051575712803,0.9857078931417583,1706194594.9099863,nan,nan,nan,0.022789916023612022,0.03447654843330383,1.0322998762130737
1706194594.972726,1706194594.979984,29.0189289490909,23.753567669519857,-0.00016279226291854298,NaN,NaN,1706194595.0028021,-406.63302217347524,-3505.185464451671,0.9856298802099717,1706194595.0028021,nan,nan,nan,0.023274807259440422,0.033748168498277664,1.031325101852417
1706194595.0649018,1706194595.0708869,29.0189289490909,23.753567669519857,-0.00016279226291854298,NaN,NaN,1706194595.0952792,-406.67662845519186,-3505.1671060497138,0.9857141743531821,1706194595.0952792,nan,nan,nan,0.023517252877354622,0.03423375263810158,1.030593991279602
1706194595.158738,1706194595.165861,29.0189289490909,23.753567669519857,-0.00016279226291854298,NaN,NaN,1706194595.1901643,-406.6671136920874,-3505.174571381267,0.9857210589802412,1706194595.1891716,nan,nan,nan,0.02400214597582817,0.03496213257312775,1.0291317701339722
1706194595.2509785,1706194595.2577746,29.0189289490909,23.753567669519857,-0.00016279226291854298,NaN,NaN,1706194595.2830634,-406.6780745605918,-3505.1749329071667,0.9857132442432937,1706194595.2829475,nan,nan,nan,0.022305024787783623,0.03471934050321579,1.0303502082824707
1706194595.3418887,1706194595.3554995,29.0189289490909,23.753567669519857,-0.00016279226291854298,NaN,NaN,1706194595.3684776,-406.66926225237285,-3505.177759282004,0.9857157191262893,1706194595.3684776,nan,nan,nan,0.021577686071395874,0.03569050878286362,1.0320560932159424
1706194595.4186764,1706194595.4447885,29.0189289490909,23.753567669519857,-0.00016279226291854298,NaN,NaN,1706194595.4447885,-406.6685544373339,-3505.178773229987,0.985735258472115,1706194595.4447885,nan,nan,nan,0.023274807259440422,0.03350537270307541,1.0308376550674438
1706194595.4968934,1706194595.503066,29.0189289490909,23.753567669519857,-0.00016279226291854298,NaN,NaN,1706194595.5164473,-406.66807785734613,-3505.1808218190577,0.9857159460917848,1706194595.5162535,nan,nan,nan,0.022789916023612022,0.03471934050321579,1.0303502082824707
1706194595.5733125,1706194595.5831757,29.0189289490909,23.753567669519857,-0.00016279226291854298,NaN,NaN,1706194595.5898294,-406.66875533097493,-3505.1820746900016,0.9856946391393911,1706194595.5898294,nan,nan,nan,0.023274807259440422,0.03447654843330383,1.0322998762130737
1706194595.6496894,1706194595.6573462,29.0189289490909,23.753567669519857,-0.00016279226291854298,NaN,NaN,1706194595.6686707,-406.6652850178453,-3505.1747102525164,0.9857279656686839,1706194595.6686707,nan,nan,nan,0.02448703721165657,0.03277700021862984,1.0322998762130737
1706194595.7262526,1706194595.7361076,29.0189289490909,23.753567669519857,-0.00016279226291854298,NaN,NaN,1706194595.7521522,-406.6690363673373,-3505.178213645576,0.9857262233975639,1706194595.7521522,nan,nan,nan,0.02472948282957077,0.03423375263810158,1.0337620973587036
